conceptid,Value,ValueType,Provider 
RESOURCE_CLASSIFICATION:1,1,sortorder,GCI
RESOURCE_CLASSIFICATION:2,2,sortorder,GCI
RESOURCE_CLASSIFICATION:3,3,sortorder,GCI
RESOURCE_CLASSIFICATION:4,4,sortorder,GCI
RESOURCE_CLASSIFICATION:5,5,sortorder,GCI
RESOURCE_CLASSIFICATION:6,6,sortorder,GCI
RESOURCE_CLASSIFICATION:7,7,sortorder,GCI
RESOURCE_CLASSIFICATION:8,8,sortorder,GCI
RESOURCE_CLASSIFICATION:9,9,sortorder,GCI
RESOURCE_CLASSIFICATION:10,10,sortorder,GCI
RESOURCE_CLASSIFICATION:11,11,sortorder,GCI
RESOURCE_CLASSIFICATION:12,12,sortorder,GCI
RESOURCE_CLASSIFICATION:13,13,sortorder,GCI
RESOURCE_CLASSIFICATION:14,14,sortorder,GCI
RESOURCE_CLASSIFICATION:15,15,sortorder,GCI
RESOURCE_CLASSIFICATION:16,16,sortorder,GCI
RESOURCE_CLASSIFICATION:17,17,sortorder,GCI
RESOURCE_CLASSIFICATION:18,18,sortorder,GCI
RESOURCE_CLASSIFICATION:19,19,sortorder,GCI
RESOURCE_CLASSIFICATION:20,20,sortorder,GCI
RESOURCE_CLASSIFICATION:21,21,sortorder,GCI
RESOURCE_CLASSIFICATION:22,22,sortorder,GCI
RESOURCE_CLASSIFICATION:23,23,sortorder,GCI
RESOURCE_CLASSIFICATION:24,24,sortorder,GCI
RESOURCE_CLASSIFICATION:100,100,sortorder,GCI
RESOURCE_CLASSIFICATION:101,101,sortorder,GCI
RESOURCE_CLASSIFICATION:102,102,sortorder,GCI
RESOURCE_CLASSIFICATION:103,103,sortorder,GCI
RESOURCE_CLASSIFICATION:104,104,sortorder,GCI
RESOURCE_CLASSIFICATION:105,105,sortorder,GCI
RESOURCE_CLASSIFICATION:106,106,sortorder,GCI
RESOURCE_CLASSIFICATION:200,200,sortorder,GCI
RESOURCE_CLASSIFICATION:201,201,sortorder,GCI
RESOURCE_CLASSIFICATION:202,202,sortorder,GCI
RESOURCE_CLASSIFICATION:203,203,sortorder,GCI
RESOURCE_CLASSIFICATION:204,204,sortorder,GCI
RESOURCE_CLASSIFICATION:205,205,sortorder,GCI
RESOURCE_CLASSIFICATION:206,206,sortorder,GCI
RESOURCE_CLASSIFICATION:207,207,sortorder,GCI
RESOURCE_CLASSIFICATION:208,208,sortorder,GCI
RESOURCE_CLASSIFICATION:209,209,sortorder,GCI
RESOURCE_CLASSIFICATION:1,Najdišča,label:sl,GCI
RESOURCE_CLASSIFICATION:2,Cerkev,label:sl,GCI
RESOURCE_CLASSIFICATION:3,Cesta,label:sl,GCI
RESOURCE_CLASSIFICATION:4,Delavnica,label:sl,GCI
RESOURCE_CLASSIFICATION:5,Grad,label:sl,GCI
RESOURCE_CLASSIFICATION:6,Grobišče,label:sl,GCI
RESOURCE_CLASSIFICATION:7,Jama,label:sl,GCI
RESOURCE_CLASSIFICATION:8,Ljudska pripoved,label:sl,GCI
RESOURCE_CLASSIFICATION:9,Naselbina,label:sl,GCI
RESOURCE_CLASSIFICATION:10,"Naselbina, Cerkev",label:sl,GCI
RESOURCE_CLASSIFICATION:11,"Naselbina, Cerkev, Grobišče",label:sl,GCI
RESOURCE_CLASSIFICATION:12,"Naselbina, Grobišče",label:sl,GCI
RESOURCE_CLASSIFICATION:13,Neopredeljeno,label:sl,GCI
RESOURCE_CLASSIFICATION:14,Okop,label:sl,GCI
RESOURCE_CLASSIFICATION:15,Posamična najdba,label:sl,GCI
RESOURCE_CLASSIFICATION:16,Samostan,label:sl,GCI
RESOURCE_CLASSIFICATION:17,Svetišče,label:sl,GCI
RESOURCE_CLASSIFICATION:18,Utrdba,label:sl,GCI
RESOURCE_CLASSIFICATION:19,Zaklad,label:sl,GCI
RESOURCE_CLASSIFICATION:20,"Cerkev, Grobišče",label:sl,GCI
RESOURCE_CLASSIFICATION:21,"Cerkev, Samostan",label:sl,GCI
RESOURCE_CLASSIFICATION:22,"Cerkev, Grobišče, Samostan",label:sl,GCI
RESOURCE_CLASSIFICATION:23,"Utrdba, Grobišče",label:sl,GCI
RESOURCE_CLASSIFICATION:24,"Cerkev, Utrdba",label:sl,GCI
RESOURCE_CLASSIFICATION:100,Grobovi,label:sl,GCI
RESOURCE_CLASSIFICATION:200,Objekti,label:sl,GCI
RESOURCE_CLASSIFICATION:1,Fundstellen,label:de,GCI
RESOURCE_CLASSIFICATION:2,Kirche,label:de,GCI
RESOURCE_CLASSIFICATION:3,"Weg, Strasse",label:de,GCI
RESOURCE_CLASSIFICATION:4,Werkstatt,label:de,GCI
RESOURCE_CLASSIFICATION:5,"Schloss, Burg",label:de,GCI
RESOURCE_CLASSIFICATION:6,Friedhof,label:de,GCI
RESOURCE_CLASSIFICATION:7,Grube,label:de,GCI
RESOURCE_CLASSIFICATION:8,Erzählung,label:de,GCI
RESOURCE_CLASSIFICATION:9,Siedlung,label:de,GCI
RESOURCE_CLASSIFICATION:10,"Siedlung, Kirche",label:de,GCI
RESOURCE_CLASSIFICATION:11,"Siedlung, Kirche, Friedhof",label:de,GCI
RESOURCE_CLASSIFICATION:12,"Siedlung, Friedhof",label:de,GCI
RESOURCE_CLASSIFICATION:13,unbestimmt,label:de,GCI
RESOURCE_CLASSIFICATION:14,Graben,label:de,GCI
RESOURCE_CLASSIFICATION:15,Funde,label:de,GCI
RESOURCE_CLASSIFICATION:16,Kloster,label:de,GCI
RESOURCE_CLASSIFICATION:17,Heiligtum,label:de,GCI
RESOURCE_CLASSIFICATION:18,Festigung,label:de,GCI
RESOURCE_CLASSIFICATION:19,Depot,label:de,GCI
RESOURCE_CLASSIFICATION:20,"Kirche, Friedhof",label:de,GCI
RESOURCE_CLASSIFICATION:21,"Kirche, Kloster",label:de,GCI
RESOURCE_CLASSIFICATION:22,"Kirche, Friedhof, Kloster",label:de,GCI
RESOURCE_CLASSIFICATION:23,"Festigung, Friedhof",label:de,GCI
RESOURCE_CLASSIFICATION:24,"Festigung, Kirche",label:de,GCI
RESOURCE_CLASSIFICATION:100,Graves,label:de,GCI
RESOURCE_CLASSIFICATION:200,Gebäude,label:de,GCI
